path,folder,extension,bytes,rows,modified,chipboard_id,start_time_unix,start_time_string,acq_time_s,hv_v,threshold_kev,pixet_version,mpx_type,interface
13_tue_proton_daily_batch/toa_tot__r0000028607.t3pa,13_tue_proton_daily_batch,.t3pa,1076,38,2024-02-13T09:22:04,G07-W0050,1707801703.985,Tue Feb 13 06:21:43.984999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028589.t3pa,13_tue_proton_daily_batch,.t3pa,1189,42,2024-02-13T09:15:58,G07-W0050,1707801339.789,Tue Feb 13 06:15:39.789000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028498.t3pa,13_tue_proton_daily_batch,.t3pa,2369,86,2024-02-13T08:45:14,G07-W0050,1707799494.201,Tue Feb 13 05:44:54.200999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028639.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:32:34,G07-W0050,1707802352.423,Tue Feb 13 06:32:32.423000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028543.t3pa,13_tue_proton_daily_batch,.t3pa,1316,47,2024-02-13T09:00:26,G07-W0050,1707800405.928,Tue Feb 13 06:00:05.927999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028563.t3pa,13_tue_proton_daily_batch,.t3pa,2719,98,2024-02-13T09:07:14,G07-W0050,1707800812.72,Tue Feb 13 06:06:52.720000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028634.t3pa,13_tue_proton_daily_batch,.t3pa,707,25,2024-02-13T09:31:12,G07-W0050,1707802251.255,Tue Feb 13 06:30:51.255000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028632.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:30:12,G07-W0050,1707802210.792,Tue Feb 13 06:30:10.792000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028608.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:22:06,G07-W0050,1707801724.218,Tue Feb 13 06:22:04.217999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028622.t3pa,13_tue_proton_daily_batch,.t3pa,2745,100,2024-02-13T09:27:08,G07-W0050,1707802007.479,Tue Feb 13 06:26:47.479000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028682.t3pa,13_tue_proton_daily_batch,.t3pa,602,21,2024-02-13T09:47:20,G07-W0050,1707803223.473,Tue Feb 13 06:47:03.473000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028613.t3pa,13_tue_proton_daily_batch,.t3pa,627,22,2024-02-13T09:24:04,G07-W0050,1707801825.383,Tue Feb 13 06:23:45.382999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028563.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:06:54,G07-W0050,1707800812.72,Tue Feb 13 06:06:52.720000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028475.t3pa,13_tue_proton_daily_batch,.t3pa,778,27,2024-02-13T08:37:28,G07-W0050,1707799028.211,Tue Feb 13 05:37:08.210999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028579.t3pa,13_tue_proton_daily_batch,.t3pa,2816,101,2024-02-13T09:12:38,G07-W0050,1707801137.454,Tue Feb 13 06:12:17.453999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028657.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:38:38,G07-W0050,1707802716.626,Tue Feb 13 06:38:36.625999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028556.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:04:32,G07-W0050,1707800671.068,Tue Feb 13 06:04:31.068000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028649.t3pa,13_tue_proton_daily_batch,.t3pa,787,28,2024-02-13T09:36:16,G07-W0050,1707802554.758,Tue Feb 13 06:35:54.757999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028479.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T08:38:30,G07-W0050,1707799109.142,Tue Feb 13 05:38:29.141999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
